Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,PMR 1,446.006250,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,PMR 2,446.018750,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
3,PMR 3,446.031250,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
4,PMR 4,446.043750,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
5,PMR 5,446.056250,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
6,PMR 6,446.068750,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
7,PMR 7,446.081250,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
8,PMR 8,446.093750,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
9,SABAC,145.600000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
10,CER VHF,145.762500,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
11,CER UHF,434.800000,-,1.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
12,AVA VHF,145.625000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
13,AVA UHF,434.625000,-,1.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
14,GMRS 1,462.562500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
15,GMRS 2,462.587500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
16,GMRS 3,462.612500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
17,GMRS 4,462.637500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
18,GMRS 5,462.662500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
19,GMRS 6,462.687500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
20,GMRS 7,462.712500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
21,GMRS 8,467.562500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
22,GMRS 9,467.587500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
23,GMRS 10,467.612500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
24,GMRS 11,467.637500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
25,GMRS 12,467.662500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
26,GMRS 13,467.687500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
27,GMRS 14,467.712500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
28,MURS 1,151.820000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
29,MURS 2,151.880000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
30,MURS 3,151.940000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
31,R0,145.600000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
32,R0,145.600000,-,0.600000,Tone,151.4,88.5,023,NN,FM,5.00,,,,,,
33,R0,145.600000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
34,R0,145.600000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
35,R0,145.600000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
36,R1,145.625000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
37,R2,145.650000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
38,R3,145.675000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
39,R3,145.675000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
40,R4,145.700000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
41,R4,145.700000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
42,R5,145.725000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
43,R5,145.725000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
44,R5,145.725000,-,0.600000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
45,R6,145.750000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
46,R6,145.750000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
47,R7,145.775000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
48,R0X,145.612500,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
49,R2X,145.662500,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
50,R3X,145.687500,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
51,R4X,145.712500,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
52,R5X,145.737500,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
53,R6X,145.762500,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
54,R7X,145.787500,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
55,R7X,145.787500,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
56,S17,145.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
57,S19-R,145.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
58,RU0,434.600000,-,1.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
59,RU1,434.625000,-,1.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
60,RU2,434.650000,-,1.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
61,RU3,434.675000,-,1.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
62,RU4,434.700000,-,1.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
63,RU4,434.700000,-,1.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
64,RU5,434.725000,-,1.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
65,RU6,434.750000,-,1.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
66,RU6,434.750000,-,1.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
67,RU7,434.775000,-,1.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
68,RU8,434.800000,-,1.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
69,RU8,434.800000,-,1.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
70,RU9,434.825000,-,1.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
71,RU10,434.850000,-,1.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
72,RU12,434.900000,-,1.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
73,RU15,434.975000,-,1.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
74,RU0X,434.612500,-,1.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
75,RU2X,434.662500,-,1.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
76,RU4X,434.712500,-,1.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
77,RU7X,434.787500,-,1.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
78,RU14,434.950000,-,1.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
